Original Date,Proposed New Date,Course Name,Recommended Prerequisite(s),Instructor(s),In-Person TA,WebEx TA,Course Length,Description,Topics Covered
3/14/2016,,Intro to data science,,Rebecca Bilbro,,,3 hours 12:30- 4:30 PM,Introduction to data science,What is data science? What kind of work do data scientists do? How are data products made? What is the data science pipeline?
3/21/2016,,Introduction to Git and Github,,"Rebecca Bilbro, Pri Oberoi, Sasan Bahadaran",,,3 hours 12:30- 4:30 PM,Learn to work effectively on a data team and never lose your project again! Introduction to version control using Git software and the GitHub website.,https://gist.github.com/rebeccabilbro/31c9f78e7d264f48ce50
4/4/2016,,Intro to Object Oriented Programming,,Rebecca Bilbro & Mark Brown,,,3 hours 12:30-4:30 PM,Introduction to classes and methods,https://gist.github.com/rebeccabilbro/3275b4091c8c7c382afe
4/6/2016,,Intro to Python,Intro to Object Oriented Programming,Star Ying,,,3 hours 12:30-4:30PM,Learn basic syntax and how to get up running with programming with Python,"Basic syntax, list comprehension, packages, looping, pickling"
4/12/2016,,Photoshop ,,Radhika Bhatt,,,3 hours 1:00-5:00 PM,"Learn the basic principles and concepts of design such as color theory, typography, branding, user experience design, and mobile design. Practice what you learn in photoshop, and walk away with a design by the end of the class. ","design principles, color theory, adobe programs and their uses, photoshop, ux design, mobile design"
4/14/2016,,Using APIs (Intro to REST),Intro to Python,Alison Rowland,,,3 hours,,
4/20/2016,,Building APIs,Intro to Python,Alison Rowland,,,3 hours,,
4/25/2016,,Intro to R,,"Jeff Chen, Star Ying",,,,"Introductory course that covers basic R syntax, input and output, and basic statistical analysis",
4/29/2016,,Intro to Javascript,"HTML, CSS (not mandatory though)",Natassja and Mark,,Jeff Chen,3 hours 1:00-4:00 p.m.,Introductory course that covers basic JS concepts and makes use of free online tools for programming in JS,"This course will cover: Strings, Integers, Floats, and Equality; Loops, Methods, Functions, and jQuery; and give you a sneak peak at Classes and Objects. We will look at real-life examples of each concept."
5/4/2016,,Intro to Data Analysis with R,"Intro to data science, Intro to R",Pri Oberoi,,,3 hours 1:00-5:00PM,"Given a dataset online, use Python to load the data, compute summary statistics, and investigate correlations.",https://github.com/rebeccabilbro/Tutorials/blob/master/nba/NBA%20Player%20Statistics%20Workshop.ipynb
5/11/2016,,Data Wrangling with pandas ,Intro to Python,Rebecca Bilbro ,,,3 hours 1:00-5:00 PM,"Download, explore, and wrangle the Titanic passenger manifest dataset with an eye toward developing a predictive model for survival",https://gist.github.com/rebeccabilbro/45dc0c0500fd92b0f32e
5/18/2016,,Intro to Machine Learning,"Intro to Python, Data Wrangling with pandas ","Rebecca Bilbro, Star Ying",,,3 hours 1:00-5:00 PM,"Basic introduction to machine learning: what it is, how it works, and how to get started with machine learning in Python using the Scikit-learn API.",https://gist.github.com/rebeccabilbro/d40599f4ec96aa21dc48  and  https://districtdatalabs.silvrback.com/an-introduction-to-machine-learning-with-python
5/25/2016,,Visual Analytics with Python,Intro to Python,Rebecca Bilbro,,,3 hours,"Anscombe's quartet teaches us that data visualizations have a lot more utility than in just presenting results at the end of a project -- visual analytics can play a critical role in many phases of the data science pipeline, from analysis to wrangling to machine learning. Learn how you can deploy easy visualization tools in Python to boost your analytical power and get better results.",
6/1/2016,,Data Storytelling with R,Intro to R,"Star Ying, Pri Oberoi",,,3 hours,"Overview of internal R data visualization tools as well as use of Shiny, Leaflet, and Plotly for interactive visualizations.",
6/9/2016,,Basic SQL (using sqlite3) ,Intro to Python,Alison Rowland,,Jeff Chen,3 hours,,
HOLD,,Intro to Automated Testing,Intro to Python,Alison Rowland,,,,,
HOLD,,Intro to Docker,"Intro to Python, Intro to Git and Github",Alison Rowland,,,,,
Waiting,,Basic Data Ingestion with requests and beautifulsoup,Intro to Python,Rebecca Bilbro ,,,3 hours,,